morton_code,lat,lon,gem_score,demand_p90,demand_p50,flow_index,stop_rate,n_rides,n_corners,crowd_v_p50,crowd_v_p85,crowd_lean_p90,radius_p50,grade_mean,elev_mean,n_points
122010200300212120,48.2225,11.6298,79.5367,30.2375,0.8901,0.9333,0.0,15,3,27.2222,34.6389,25.7432,92.8909,-0.151,513.5363,92
122001210103022111,47.9344,7.481,76.9937,31.8604,17.8088,1.0,0.0,5,5,24.8611,27.5278,33.0644,190.1717,-2.2006,207.4948,24
122001210103023000,47.9346,7.4824,76.2449,31.1865,13.6013,1.0,0.0,5,4,21.3889,23.875,30.3486,91.3821,-0.443,210.1911,28
122001210103023001,47.9342,7.4838,74.7399,29.832,3.3723,1.0,0.0,5,3,21.6667,26.6528,25.4224,211.6659,1.0628,210.5667,30
122010200333121223,48.4596,11.9224,74.6591,39.6554,9.3342,0.5714,0.0,7,5,13.8889,17.1389,31.2187,30.4743,-1.5607,419.1952,63
122010200211312320,48.2282,11.5861,74.6419,27.3827,1.0629,1.0,0.0,8,2,19.7222,26.7778,15.75,121.4638,0.1712,536.112,45
122010200300212101,48.2199,11.6309,73.6891,27.9886,15.9508,1.0,0.0,6,2,26.2108,34.4444,29.0039,89.4708,-0.5695,541.3385,20
122010200211312302,48.227,11.5858,73.4409,28.6629,15.3867,1.0,0.0,5,5,15.2778,16.8889,29.584,73.5031,-0.808,538.1339,29
122001210103031313,47.9294,7.514,72.7215,27.1177,8.5272,1.0,0.0,6,1,28.8889,34.5973,27.668,223.1567,-0.1717,209.1234,22
122010022331332112,47.7151,11.9407,72.4755,27.794,15.6783,1.0,0.0,5,5,13.6111,16.4458,24.6357,61.9032,-1.3605,791.3348,5
122010200211312231,48.2279,11.5847,72.4057,26.0559,14.2431,1.0,0.0,7,4,18.0556,33.8844,29.3643,98.9189,-1.9376,529.568,33
122001210103120330,47.9314,7.5235,70.5153,26.0299,0.9493,1.0,0.0,5,1,29.4445,32.7778,24.6621,284.4814,-0.1104,209.2931,20
122001133321033111,47.6706,11.0297,70.1861,29.3359,2.6634,0.8333,0.0,6,9,11.6667,16.9445,18.145,46.2289,-0.443,859.0179,100
122010200302203330,48.316,11.6213,70.0574,23.9425,1.0131,1.0,0.0,7,1,31.25,44.0417,19.1645,80.908,-0.0194,503.456,24
122010200333121221,48.4592,11.9219,68.8671,23.6488,3.4311,1.0,0.0,6,2,17.7778,19.4167,21.9199,51.5539,1.4637,418.7734,15
122010200033200122,48.1243,11.5205,68.7482,23.5418,1.3103,1.0,0.0,6,2,15.8333,16.3333,21.9023,68.2305,-0.3937,547.9688,9
122010200330200022,48.3887,11.7781,68.3923,23.2215,1.6796,1.0,0.0,6,3,16.7361,22.5972,23.0185,67.1569,0.5632,447.985,52
122010022333123313,47.7646,11.93,67.5232,23.337,10.1182,1.0,0.0,5,3,19.2859,21.0746,13.4341,197.8549,1.9106,783.7154,10
122001210103022102,47.9352,7.4769,67.4455,23.2671,7.7748,1.0,0.0,5,2,34.1667,36.6667,23.291,430.4196,0.1076,207.7671,21
122001210103121320,47.9308,7.5319,67.0053,22.8709,11.0301,1.0,0.0,5,4,31.3889,33.6945,24.0029,358.9115,0.7217,208.2449,19
122010200210322303,48.2482,11.4775,66.1029,21.161,6.6975,1.0,0.0,6,2,17.1662,32.0417,21.5244,61.5574,0.365,526.9906,22
122010200302203321,48.3159,11.6202,65.9933,18.9854,1.7381,1.0,0.0,9,3,25.0,34.4722,16.9585,299.582,-0.0457,491.287,42
122010200302203323,48.3172,11.6204,65.2037,19.5742,1.8166,1.0,0.0,7,3,35.9723,44.1667,23.7217,282.3969,1.1681,490.1662,22
122010200302203332,48.317,11.6214,64.9498,17.4912,1.2291,1.0,0.0,10,4,25.5556,34.5139,21.1816,267.7318,0.9473,491.4304,36
122010200213310001,48.2971,11.5813,64.7226,20.8164,4.725,1.0,0.0,5,2,25.0,34.815,25.0488,162.7943,0.2435,516.4715,9
122010200210301010,48.209,11.4842,64.5636,17.1436,2.2593,1.0,0.0,10,1,11.1111,23.1975,17.4287,57.5488,-1.9929,511.7182,79
122010200321311130,48.3867,11.7756,63.3465,18.6803,5.3871,1.0,0.0,6,3,19.2361,28.8889,14.7217,153.69,-0.4688,442.6024,21
122010022200010321,47.4703,11.28,63.0594,18.4219,0.8694,1.0,0.0,6,1,18.0556,20.2778,8.8638,83.725,0.3705,916.6247,18
122001210103121321,47.9307,7.5328,62.9467,19.2181,0.755,1.0,0.0,5,1,26.6667,31.4722,24.9609,656.7861,-0.1016,206.478,7
122010200300023011,48.1978,11.6177,62.7177,19.012,1.0105,1.0,0.0,5,2,20.2778,24.5556,17.8066,69.9577,0.638,518.4418,39
122010200300212011,48.2197,11.6285,62.4007,16.4742,0.899,0.9167,0.0,12,2,28.3333,32.3333,7.6113,105.1645,-0.0191,511.892,65
122010200300021233,48.1964,11.6172,62.3979,18.7242,0.5831,1.0,0.0,5,2,23.125,26.1111,19.9512,66.8621,0.8816,539.5169,21
122010200330220030,48.4095,11.7805,62.3309,17.7662,3.2114,1.0,0.0,6,1,17.7778,25.1111,14.8535,45.7605,0.9818,450.3044,32
122010200211312303,48.2268,11.5868,62.2772,26.3794,1.1711,0.625,0.125,8,4,15.0,18.9444,24.8731,56.6306,1.6831,516.6779,154
122010022331332110,47.7143,11.9406,62.0844,18.4421,8.6212,1.0,0.0,5,11,15.0,17.2222,17.1167,156.0692,-0.6178,786.4684,53
