morton_code,n_rides,n_points,n_corners,crowd_v_p50,crowd_v_p85,crowd_lean_p50,crowd_lean_p90,demand_p50,demand_p90,radius_p50,flow_index,stop_rate,abs_events,grade_mean,elev_mean,lat,lon,abs_per_traversal,abs_per_1k_points
122010200003110020,9,84,17,13.333333015441895,16.38888931274414,17.9955997467041,27.18895778656006,9.729646682739258,19.638341331481936,103.09200286865234,0.8888888888888888,0.0,7,-1.553655,671.6375,47.90386,11.404549,0.7777777777777778,83.33333333333333
122010200011011300,5,67,13,13.333333969116211,19.222235488891602,20.47852325439453,25.38282012939453,15.717031955718994,27.688584136962895,70.15061950683594,0.8,0.0,2,0.33289155,667.05817,47.818657,11.552638,0.4,29.850746268656717
122010200011011212,5,73,6,13.333344459533691,17.22223663330078,4.658195495605469,12.50683135986328,3.055271863937378,8.950191688537597,171.7175750732422,0.6,0.0,2,2.8979425,693.45795,47.820354,11.550045,0.4,27.397260273972602
122001311111323223,6,29,5,18.055570602416992,23.000018692016603,9.052726745605469,16.743165588378904,6.7768800258636475,15.976779937744142,252.8824920654297,0.8333333333333334,0.0,2,1.1240196,660.7696,47.899338,11.219657,0.3333333333333333,68.96551724137932
122001311111321223,6,56,5,17.361124992370605,22.5,9.492180824279785,20.45653533935547,4.680037498474121,22.124934196472168,113.9631576538086,1.0,0.0,2,1.5851475,639.9413,47.88876,11.2187195,0.3333333333333333,35.714285714285715
122010022323331022,9,92,8,15.15308141708374,16.94444932937622,4.32861328125,9.250495910644533,2.9484686851501465,8.113080978393555,234.33370971679688,1.0,0.0,3,0.0730034,773.96826,47.79531,11.7669,0.3333333333333333,32.608695652173914
122010200111012103,6,51,10,14.722222328186035,18.055556297302246,18.3691349029541,29.17967987060547,7.931241989135742,24.235268592834473,157.02196502685547,1.0,0.0,2,-6.5582113,712.0024,47.82548,11.894736,0.3333333333333333,39.21568627450981
122010200111003311,7,87,13,16.11111068725586,23.083333206176757,6.32811975479126,14.642570495605472,4.864962577819824,20.479899215698243,95.27121353149414,0.0,0.0,2,-3.6556482,669.52325,47.830067,11.886675,0.2857142857142857,22.988505747126435
122010200101111301,11,79,5,22.500017166137695,26.83334083557129,4.833976745605469,11.983880424499514,4.620477676391602,11.84202766418457,411.43141174316406,0.9090909090909091,0.09090909090909091,3,-0.7165712,742.4024,47.81859,11.773732,0.2727272727272727,37.9746835443038
122010022322310021,8,103,17,12.2222318649292,13.333344459533691,11.623536109924316,21.190426635742188,8.313542366027832,18.643513679504398,96.49091720581055,0.875,0.125,2,-0.85044557,753.135,47.772194,11.669468,0.25,19.41747572815534
122010200110231320,9,56,8,15.972228527069092,23.26388931274414,4.3505859375,13.974617004394531,2.7903008460998535,13.48137722015381,153.4153594970703,0.6666666666666666,0.0,2,-2.3645082,623.39764,47.88693,11.816579,0.2222222222222222,35.714285714285715
122010200013113002,9,124,11,13.244795799255371,16.66666707992554,5.317387580871582,14.633792686462403,4.565426826477051,12.992489624023436,108.70527648925781,1.0,0.0,2,1.7606264,762.91785,47.913467,11.590712,0.2222222222222222,16.129032258064516
